"","UNICODE","codeLoc","LATITUDE","LONGITUDE","recentinsp","not_sprayed","probability","uncertainty","time","color"
"643","1.24.5.347","1.24.5",-16.43903999,-71.59945999,"2012-05-04",0,0.0577244992150638,0.128398709531363,7,"#FD8D3C"
"644","1.24.7.114","1.24.7",-16.44027431,-71.59052967,"2013-07-02",0,0.0577202569173256,0.129386889432195,6,"#FD8D3C"
"645","1.24.5.585","1.24.5",-16.43845809,-71.59531735,"2012-04-27",0,0.0577093678758577,0.129028620465669,7,"#FD8D3C"
"646","1.24.7.21","1.24.7",-16.44065895,-71.59193058,"2015-07-20",0,0.0576984216086082,0.129155086599782,4,"#FD8D3C"
"647","1.24.6.92","1.24.6",-16.44066862,-71.59474785,"2014-03-12",0,0.0576956362626597,0.127967420175798,5,"#FD8D3C"
"648","1.24.5.325","1.24.5",-16.43866427,-71.59875967,"2014-03-10",0,0.0576842783490454,0.12941042643616,5,"#FD8D3C"
"649","1.24.5.481","1.24.5",-16.43610512,-71.59780692,"2010-03-17",0,0.0576644769382436,0.129819920920362,9,"#FD8D3C"
"650","1.24.5.476","1.24.5",-16.4363454,-71.59829363,"2005-04-01",0,0.0576627655805202,0.130232990588494,14,"#FD8D3C"
"651","1.24.8.11","1.24.8",-16.44112225,-71.58775378,"2012-06-15",1,0.057629311562534,0.124997617901042,7,"#FD8D3C"
"652","1.24.5.199","1.24.5",-16.44013056,-71.59742139,"2014-03-05",0,0.0576024727913871,0.127661535903596,5,"#FD8D3C"
"653","1.24.6.82","1.24.6",-16.43988126,-71.59383559,"2015-02-24",0,0.0576024590114783,0.127700991346442,4,"#FD8D3C"
"654","1.24.5.495","1.24.5",-16.43682533,-71.59901238,"2013-12-13",0,0.0575866936313997,0.129990060582242,6,"#FD8D3C"
"655","1.24.5.330","1.24.5",-16.43844701,-71.59820228,"2015-12-18",0,0.0575652139773818,0.128953295851482,4,"#FD8D3C"
"656","1.24.5.489","1.24.5",-16.43635283,-71.59868429,"2012-05-02",0,0.0575636558319272,0.130089927341077,7,"#FD8D3C"
"657","1.24.5.197","1.24.5",-16.44016625,-71.59757213,"2012-04-16",0,0.0575625577130958,0.127533840533154,7,"#FD8D3C"
"658","1.24.5.560","1.24.5",-16.43846399,-71.59557345,"2010-03-17",0,0.0575607372190131,0.128513121856877,9,"#FD8D3C"
"659","1.24.7.38","1.24.7",-16.44000784,-71.5912671,"2012-07-06",0,0.0575598194792303,0.129319237179251,7,"#FD8D3C"
"660","1.24.5.557A","1.24.5",-16.43815784,-71.59599958,"2012-05-03",0,0.0575272481255611,0.128556411898475,7,"#FD8D3C"
"661","1.24.7.13","1.24.7",-16.44108542,-71.59140404,"2015-07-20",0,0.0575227733745267,0.128682068702247,4,"#FD8D3C"
"662","1.24.6.61","1.24.6",-16.44080937,-71.59439381,"2014-03-12",0,0.0575121250266748,0.12811127109787,5,"#FD8D3C"
"663","1.24.7.44","1.24.7",-16.43964579,-71.59125543,"2010-03-19",0,0.0574959510191326,0.129089105119404,9,"#FD8D3C"
"664","1.24.5.106B","1.24.5",-16.43895263,-71.59530606,"2014-03-06",0,0.057491306234146,0.127230409256705,5,"#FD8D3C"
"665","1.24.6.40","1.24.6",-16.44017357,-71.59349163,"2010-03-17",0,0.0574842695431895,0.126395359436894,9,"#FD8D3C"
"666","1.24.6.98","1.24.6",-16.43978648,-71.59402704,"2011-11-22",0,0.0574797501237318,0.127291175809625,8,"#FD8D3C"
"667","1.24.5.469","1.24.5",-16.43637876,-71.59793744,"2015-12-18",0,0.0574578273213281,0.129638192820156,4,"#FD8D3C"
"668","1.24.6.66","1.24.6",-16.44041659,-71.59409355,"2012-04-22",0,0.0574446082778533,0.127626564611198,7,"#FD8D3C"
"669","1.24.5.394","1.24.5",-16.43807698,-71.59761587,"2012-04-27",0,0.0574445930327231,0.129061466668597,7,"#FD8D3C"
"670","1.24.5.374","1.24.5",-16.43761794,-71.5988077,"2012-04-25",0,0.0574230056547458,0.129250986083162,7,"#FD8D3C"
"671","1.24.5.108","1.24.5",-16.43896936,-71.59524887,"2015-10-27",0,0.0574061860304836,0.126821959469096,4,"#FD8D3C"
"672","1.24.6.86","1.24.6",-16.4403495,-71.59421291,"2010-03-18",0,0.0574014833118927,0.127698675859694,9,"#FD8D3C"
"673","1.24.7.51","1.24.7",-16.44004478,-71.5910018,"2014-03-14",0,0.0573909274947458,0.12907051681454,5,"#FD8D3C"
"674","1.24.6.64","1.24.6",-16.44060254,-71.59423179,"2012-03-23",0,0.0573747586220972,0.127769431595757,7,"#FD8D3C"
"675","1.24.5.520","1.24.5",-16.43784152,-71.59894586,"2012-04-26",0,0.0573713969021309,0.129274154046559,7,"#FD8D3C"
"676","1.24.5.64","1.24.5",-16.43993809,-71.59636219,"2014-03-10",0,0.0573692554229161,0.1280043199447,5,"#FD8D3C"
"677","1.24.7.130","1.24.7",-16.44130189,-71.59016385,"2015-11-03",0,0.0573681614789423,0.129199271529468,4,"#FD8D3C"
"678","1.24.5.149","1.24.5",-16.43881142,-71.59734044,"2012-04-14",0,0.0573446268762089,0.128078155253511,7,"#FD8D3C"
"679","1.24.5.107","1.24.5",-16.43893981,-71.5953526,"2014-03-05",0,0.057341881943521,0.127068335449897,5,"#FD8D3C"
"680","1.24.5.321","1.24.5",-16.43895016,-71.59893222,"2010-03-15",0,0.0573347509279587,0.128018496989129,9,"#FD8D3C"
"681","1.24.5.369","1.24.5",-16.43834163,-71.59870233,"2012-04-25",0,0.0573152034407777,0.128990816377131,7,"#FD8D3C"
"682","1.24.6.58","1.24.6",-16.44088997,-71.59422663,"2012-03-27",0,0.0573114307418113,0.127277919266544,7,"#FD8D3C"
"683","1.24.6.91A","1.24.6",-16.44073738,-71.59468613,"2014-03-12",0,0.0573099028637662,0.127552438967077,5,"#FD8D3C"
"684","1.24.7.69","1.24.7",-16.44107653,-71.59102665,"2010-03-19",0,0.0572831972388623,0.129184719098357,9,"#FD8D3C"
"685","1.24.5.563","1.24.5",-16.4386365,-71.59531083,"2012-05-04",0,0.0572798130253646,0.127633457223383,7,"#FD8D3C"
"686","1.24.5.580","1.24.5",-16.43807961,-71.59504459,"2010-03-17",0,0.0572644952191024,0.128275342276266,9,"#FD8D3C"
"687","1.24.5.106","1.24.5",-16.43891529,-71.59548216,"2013-07-24",0,0.0572638828691139,0.127188356350008,6,"#FD8D3C"
"688","1.24.5.136","1.24.5",-16.43918405,-71.59653925,"2015-04-07",0,0.0572436492134504,0.127077032274564,4,"#FD8D3C"
"689","1.24.7.56","1.24.7",-16.43966316,-71.59091493,"2011-11-24",0,0.0572413509323618,0.128802080617761,8,"#FD8D3C"
"690","1.24.5.578","1.24.5",-16.43786642,-71.59495225,"2010-03-17",0,0.0572336053251265,0.128151813678477,9,"#FD8D3C"
"691","1.24.5.140","1.24.5",-16.43854269,-71.59666576,"2010-03-12",0,0.0572137501555105,0.127519341939871,9,"#FD8D3C"
"692","1.24.5.69","1.24.5",-16.43953829,-71.59648718,"2014-03-07",0,0.0572010034018774,0.127736935188243,5,"#FD8D3C"
"693","1.24.5.150","1.24.5",-16.43883818,-71.59747522,"2010-03-31",0,0.0571820738526238,0.127437956957126,9,"#FD8D3C"
"694","1.24.6.84","1.24.6",-16.44002463,-71.59399403,"2012-04-03",0,0.0571683547671606,0.127298852332132,7,"#FD8D3C"
"695","1.24.5.304","1.24.5",-16.43914387,-71.59851029,"2015-05-11",0,0.0571626594275443,0.126522060796336,4,"#FD8D3C"
"696","1.24.6.59A","1.24.6",-16.44096752,-71.59441834,"2005-03-09",0,0.0571538191935117,0.12758723436913,14,"#FD8D3C"
"697","1.24.5.186","1.24.5",-16.43997757,-71.59671819,"2015-06-30",0,0.0571300744030353,0.12787238069293,4,"#FD8D3C"
"698","1.24.5.442","1.24.5",-16.43719982,-71.59750083,"2012-04-26",0,0.0571101958186983,0.128685410992816,7,"#FD8D3C"
"699","1.24.6.95","1.24.6",-16.43961523,-71.59383703,"2012-03-22",0,0.0570832850399263,0.125427743411161,7,"#FD8D3C"
"700","1.24.5.561","1.24.5",-16.43849887,-71.59550206,"2012-05-03",0,0.0570692221158866,0.127479259854214,7,"#FD8D3C"
"701","1.24.5.398","1.24.5",-16.43832009,-71.59778809,"2015-11-19",0,0.057063311464757,0.12817395780685,4,"#FD8D3C"
"702","1.24.7.48","1.24.7",-16.43970692,-71.5910593,"2012-07-13",0,0.0570565791977032,0.128423698596369,7,"#FECC5C"
"703","1.24.7.125","1.24.7",-16.44086613,-71.59062481,"2014-03-13",0,0.057044287246196,0.128806949024671,5,"#FECC5C"
"704","1.24.5.352","1.24.5",-16.43867085,-71.59948406,"2012-04-24",0,0.0570293046624265,0.12725518598811,7,"#FECC5C"
"705","1.24.5.393","1.24.5",-16.43809245,-71.59776547,"2012-04-27",0,0.0570281201504498,0.128126794918993,7,"#FECC5C"
"706","1.24.7.3","1.24.7",-16.44186321,-71.59045309,"2015-07-21",0,0.0570140044958707,0.129070198430314,4,"#FECC5C"
"707","1.24.5.487","1.24.5",-16.43614693,-71.59847968,"2011-12-11",0,0.0570136701857984,0.128837333529833,8,"#FECC5C"
"708","1.24.5.455","1.24.5",-16.43718087,-71.59862976,"2012-04-27",0,0.0569954844426523,0.128741575909164,7,"#FECC5C"
"709","1.24.5.400","1.24.5",-16.43826937,-71.59796369,"2012-04-27",0,0.0569922015055453,0.127974566887251,7,"#FECC5C"
"710","1.24.5.385","1.24.5",-16.43814104,-71.59835836,"2015-11-26",0,0.0569735168234933,0.127772498342963,4,"#FECC5C"
"711","1.24.5.345","1.24.5",-16.43900609,-71.59933899,"2012-04-23",0,0.0569658194898393,0.126943443052862,7,"#FECC5C"
"712","1.24.5.373","1.24.5",-16.43772096,-71.59876092,"2012-04-25",0,0.0569528889504866,0.128196351945853,7,"#FECC5C"
"713","1.24.6.62","1.24.6",-16.44074599,-71.59434522,"2012-03-23",0,0.0569501438896617,0.126941604603254,7,"#FECC5C"
"714","1.24.5.365","1.24.5",-16.43865662,-71.59907766,"2005-03-23",0,0.0569418256215311,0.127441039950522,14,"#FECC5C"
"715","1.24.5.372","1.24.5",-16.43784761,-71.59876636,"2010-03-31",0,0.0569337459776318,0.128191829178768,9,"#FECC5C"
"716","1.24.7.107","1.24.7",-16.43934977,-71.59078965,"2014-03-13",0,0.0569229603913236,0.1272255443547,5,"#FECC5C"
"717","1.24.5.315","1.24.5",-16.43899916,-71.59867187,"2014-03-10",0,0.0569114000403774,0.12710148848674,5,"#FECC5C"
"718","1.24.5.510","1.24.5",-16.43858054,-71.59969001,"2012-04-25",0,0.0569039010280676,0.127915474291515,7,"#FECC5C"
"719","1.24.5.472","1.24.5",-16.43655399,-71.59823512,"2012-05-03",0,0.0569037374190305,0.128618786561542,7,"#FECC5C"
"720","1.24.5.496","1.24.5",-16.43672084,-71.59903825,"2010-03-16",0,0.0568880951617388,0.128506086007128,9,"#FECC5C"
"721","1.24.7.93","1.24.7",-16.44067635,-71.59119597,"2014-03-13",0,0.0568715110254802,0.1281397866513,5,"#FECC5C"
"722","1.24.7.1","1.24.7",-16.44199358,-71.59018011,"2015-07-21",0,0.0568713457087169,0.129174070168301,4,"#FECC5C"
"723","1.24.6.56","1.24.6",-16.44073893,-71.59409787,"2012-04-22",0,0.0568700150207103,0.126120109031944,7,"#FECC5C"
"724","1.24.7.27","1.24.7",-16.44010994,-71.5924427,"2015-11-03",0,0.0568484392937679,0.126424376459399,4,"#FECC5C"
"725","1.24.5.63","1.24.5",-16.43992325,-71.59647927,"2014-03-05",0,0.0568416253470926,0.127110526541364,5,"#FECC5C"
"726","1.24.5.60A","1.24.5",-16.44005994,-71.59614119,"2005-03-08",0,0.0568371046522665,0.126258822137756,14,"#FECC5C"
"727","1.24.6.83","1.24.6",-16.43995391,-71.59391913,"2014-03-12",0,0.0568299160960295,0.126350194987478,5,"#FECC5C"
"728","1.24.5.348","1.24.5",-16.43905999,-71.59951125,"2012-05-04",0,0.0568239696859921,0.12641072352153,7,"#FECC5C"
"729","1.24.5.103","1.24.5",-16.43889943,-71.59578834,"2015-04-06",0,0.056819822209796,0.126281006642623,4,"#FECC5C"
"730","1.24.6.60","1.24.6",-16.4409197,-71.59450536,"2012-03-27",0,0.0568188891584668,0.126921628260643,7,"#FECC5C"
"731","1.24.5.156","1.24.5",-16.43851955,-71.5978853,"2015-06-28",0,0.0568096602819586,0.127048241215326,4,"#FECC5C"
"732","1.24.5.473","1.24.5",-16.43660336,-71.59835174,"2012-05-03",0,0.0567997809417387,0.12842647202408,7,"#FECC5C"
"733","1.24.5.416","1.24.5",-16.43647126,-71.59754204,"2015-11-25",0,0.0567765931907506,0.127756211050861,4,"#FECC5C"
"734","1.24.5.577","1.24.5",-16.43777137,-71.59500593,"2012-05-04",0,0.0567685157472639,0.127186681632093,7,"#FECC5C"
"735","1.24.5.314","1.24.5",-16.4389482,-71.59863595,"2012-04-18",0,0.0567666582967496,0.126933891446088,7,"#FECC5C"
"736","1.24.5.572","1.24.5",-16.43787041,-71.59552223,"2012-05-04",0,0.0567258800863298,0.127255960436996,7,"#FECC5C"
"737","1.24.5.415","1.24.5",-16.43649318,-71.59763159,"2011-12-06",0,0.0566962640394586,0.127678742314172,8,"#FECC5C"
"738","1.24.5.191","1.24.5",-16.44004897,-71.59689621,"2015-06-30",0,0.0566948708314452,0.126805031702052,4,"#FECC5C"
"739","1.24.7.66","1.24.7",-16.44088137,-71.59133562,"2011-11-24",0,0.0566905908574907,0.127433732816181,8,"#FECC5C"
"740","1.24.5.179","1.24.5",-16.43983012,-71.59679734,"2015-06-30",0,0.0566795622603749,0.126564873633336,4,"#FECC5C"
"741","1.24.5.441","1.24.5",-16.43736867,-71.59754461,"2012-05-11",0,0.0566775961923575,0.127837762211066,7,"#FECC5C"
"742","1.24.7.2","1.24.7",-16.4419414,-71.59033795,"2015-07-20",0,0.0566459379907283,0.128426421992443,4,"#FECC5C"
"743","1.24.5.576","1.24.5",-16.43770136,-71.59509323,"2012-05-10",0,0.0566420400515402,0.126929453958202,7,"#FECC5C"
"744","1.24.5.531","1.24.5",-16.43608414,-71.5991494,"2012-05-02",0,0.0566408671501179,0.127566578777277,7,"#FECC5C"
"745","1.24.5.60","1.24.5",-16.44001426,-71.59618136,"2014-03-05",0,0.0566386715359791,0.125949165852924,5,"#FECC5C"
"746","1.24.5.359","1.24.5",-16.43836183,-71.59888887,"2010-03-31",0,0.0566359283726913,0.127388995815778,9,"#FECC5C"
"747","1.24.5.440","1.24.5",-16.43748563,-71.59758103,"2012-05-07",0,0.0566239569700946,0.127728100310584,7,"#FECC5C"
"748","1.24.6.99","1.24.6",-16.4398494,-71.5940976,"2014-03-12",0,0.0566109193755063,0.125755886143076,5,"#FECC5C"
"749","1.24.6.93","1.24.6",-16.44019355,-71.59424421,"2014-03-13",0,0.0566088045134475,0.126025826434862,5,"#FECC5C"
"750","1.24.6.89","1.24.6",-16.44054903,-71.5944141,"2014-03-12",0,0.056597452199505,0.126146295464757,5,"#FECC5C"
"751","1.24.7.108","1.24.7",-16.43935885,-71.5906891,"2014-03-14",0,0.0565933553914338,0.126545015251708,5,"#FECC5C"
"752","1.24.6.109","1.24.6",-16.43954791,-71.59412123,"2014-03-12",0,0.0565793423779799,0.124366807144983,5,"#FECC5C"
"753","1.24.7.97","1.24.7",-16.44039894,-71.59089738,"2014-03-13",0,0.0565231982361364,0.127059635396663,5,"#FECC5C"
"754","1.24.5.413","1.24.5",-16.43658164,-71.59780112,"2012-04-26",0,0.0565214616461221,0.127439704420738,7,"#FECC5C"
"755","1.24.5.388","1.24.5",-16.43799369,-71.59814754,"2012-04-27",0,0.0565127143231862,0.126658923809736,7,"#FECC5C"
"756","1.24.7.58","1.24.7",-16.43988811,-71.59083179,"2014-03-14",0,0.0564900594780982,0.127187679160532,5,"#FECC5C"
"757","1.24.7.35","1.24.7",-16.44019737,-71.5913346,"2014-03-13",0,0.0564740864909614,0.126973698191775,5,"#FECC5C"
"758","1.24.5.451","1.24.5",-16.43703171,-71.59812091,"2015-12-18",0,0.0564205766160462,0.127451748576423,4,"#FECC5C"
"759","1.24.5.160","1.24.5",-16.43857646,-71.59747536,"2014-03-06",0,0.0564203926796469,0.126493152950285,5,"#FECC5C"
"760","1.24.5.135","1.24.5",-16.43910016,-71.59656999,"2015-07-10",0,0.0564193639775481,0.125394301592637,4,"#FECC5C"
"761","1.24.5.529","1.24.5",-16.43631204,-71.59917489,"2012-05-02",0,0.0564154416616648,0.127104562569977,7,"#FECC5C"
"762","1.24.5.396","1.24.5",-16.43825956,-71.5976325,"2015-06-10",0,0.0564100071666381,0.126854049657483,4,"#FECC5C"
"763","1.24.7.47","1.24.7",-16.43956955,-71.59110022,"2004-10-07",0,0.0563932054501616,0.126932971291426,15,"#FECC5C"
"764","1.24.5.492","1.24.5",-16.43666683,-71.5987586,"2012-05-02",0,0.0563866328578483,0.127599093545335,7,"#FECC5C"
"765","1.24.5.353","1.24.5",-16.43860817,-71.5994289,"2012-04-24",0,0.0563661901215995,0.126047339210484,7,"#FECC5C"
"766","1.24.7.70","1.24.7",-16.44117004,-71.59092455,"2015-07-21",0,0.056363462687716,0.127328068998801,4,"#FECC5C"
"767","1.24.5.160A","1.24.5",-16.43855335,-71.59745002,"2005-03-14",0,0.0563529833485213,0.126408220888042,14,"#FECC5C"
"768","1.24.5.467","1.24.5",-16.43625062,-71.59770977,"2012-05-02",0,0.0563483871598253,0.127010360914842,7,"#FECC5C"
"769","1.24.7.63","1.24.7",-16.44035514,-71.59111914,"2012-07-13",0,0.0563289083267223,0.126941110662936,7,"#FECC5C"
"770","1.24.5.557","1.24.5",-16.43821562,-71.59605337,"2012-05-03",0,0.0563255745733156,0.125938836505542,7,"#FECC5C"
