"","X","UNICODE","codeLoc","LATITUDE","LONGITUDE","check","recent_insp","condition","probability","uncertainty","recentinsp","not_sprayed","group_num","order","color"
"239",239,"1.8.9.62","1.8.9",-16.44982351,-71.51643597,0,"2007-04-11",1,0.0762068639312646,0.137467606708516,4,0,5,10,"gray"
"319",319,"1.8.9.61","1.8.9",-16.44989995,-71.51640097,0,"2007-04-11",1,0.0745366984520696,0.13525711118646,4,0,5,11,"gray"
"16",16,"1.8.1.23","1.8.1",-16.4526744,-71.51474049,0,NA,0,0.136297901717644,0.20596039736901,1,1,6,1,"blue"
"13",13,"1.8.1.20","1.8.1",-16.4521661,-71.51475072,0,NA,0,0.133078924428814,0.201047130339723,1,1,6,2,"gray"
"17",17,"1.8.1.24","1.8.1",-16.45243735,-71.51503298,0,NA,0,0.132304587316552,0.199821679187783,1,1,6,3,"gray"
"15",15,"1.8.1.22","1.8.1",-16.45232061,-71.51490802,0,NA,0,0.123737357241692,0.185965504191595,1,1,6,4,"gray"
"18",18,"1.8.1.25","1.8.1",-16.45252486,-71.51511097,0,NA,0,0.122071475226375,0.183203957940265,1,1,6,5,"gray"
"14",14,"1.8.1.21","1.8.1",-16.45224534,-71.5148323,0,NA,0,0.120482284824546,0.180552255752058,1,1,6,6,"gray"
"429",429,"1.8.10.142","1.8.10",-16.44678446,-71.52117034,0,NA,0,0.135318678921891,0.20064257653703,12,1,7,1,"blue"
"388",388,"1.8.10.139","1.8.10",-16.44685765,-71.52091107,0,"2007-04-18",2,0.083187948538201,0.150150083814905,9,0,7,2,"gray"
"389",389,"1.8.10.140","1.8.10",-16.44678358,-71.5209311,0,"2007-04-18",1,0.0786752577132798,0.141676069359997,9,0,7,3,"gray"
"390",390,"1.8.10.147","1.8.10",-16.44715377,-71.52103874,0,"2007-04-18",1,0.0786050320423018,0.144789207286456,9,0,7,4,"gray"
"387",387,"1.8.10.138","1.8.10",-16.44694295,-71.5208778,0,"2006-09-12",1,0.0784426453010786,0.142983824033383,9,0,7,5,"gray"
